id,title,genre
453,A Beautiful Mind,"drama,romance"
71157,Polisse,"drama,thriller"
980,The Ox-Bow Incident,western
47931,Elite Squad: The Enemy Within,"drama,action,crime"
31011,Mr. Nobody,"sciencefiction,drama,romance,fantasy"
665,Ben-Hur,"action,drama,history"
596,The Grapes of Wrath,drama
899405,Anonymously Yours,"drama,romance"
265195,Wild Tales,"drama,thriller,comedy"
1626,Vivre Sa Vie,drama
777,Grand Illusion,"drama,history,war"
144,Wings of Desire,"drama,fantasy,romance"
115,The Big Lebowski,"comedy,crime"
32480,The Marquis of Grillo,comedy
24480,Partly Cloudy,"animation,family,comedy"
11049,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"animation,sciencefiction,music,adventure"
59440,Warrior,"drama,action"
359156,Don't Be Bad,"crime,drama"
152742,The Best Offer,"drama,romance,crime"
58129,The Phantom Carriage,"drama,fantasy,horror"
16859,Kiki's Delivery Service,"animation,family,fantasy,adventure"
6075,Carlito's Way,"crime,thriller,drama"
10757,Kabhi Khushi Kabhie Gham,"comedy,drama"
50759,An Autumn Afternoon,drama
9479,The Nightmare Before Christmas,"fantasy,animation,family"
810693,Jujutsu Kaisen 0,"animation,action,fantasy"
503314,Dragon Ball Super: Broly,"action,sciencefiction,animation"
200727,"Love, Rosie","comedy,romance"
1018,Mulholland Drive,"thriller,drama,mystery"
887,The Best Years of Our Lives,"drama,romance,war"
354857,Regular Show: The Movie,"animation,comedy,sciencefiction,tvmovie"
317442,The Last: Naruto the Movie,"action,romance,animation"
5000,Forbidden Games,"drama,history"
113,"Spring, Summer, Fall, Winter... and Spring",drama
609242,The Heist of the Century,"comedy,thriller,crime"
25253,Crooks in Clover,"action,comedy,crime"
15859,A Moment to Remember,"drama,romance"
841755,Mortal Kombat Legends: Battle of the Realms,"animation,action,fantasy"
21135,L'Eclisse,"romance,drama"
613,Downfall,"drama,history,war"
136,Freaks,"drama,horror"
11656,The Virgin Spring,"crime,drama,thriller"
335578,Land of Mine,"war,drama,history"
31056,A Short Film About Love,"drama,romance"
89,Indiana Jones and the Last Crusade,"adventure,action"
5991,The Last Laugh,drama
12,Finding Nemo,"animation,family"
968,Dog Day Afternoon,"crime,drama,thriller"
805,Rosemary's Baby,"drama,horror,thriller"
585,"Monsters, Inc.","animation,comedy,family"
10775,Infernal Affairs,"drama,action,thriller,crime,mystery"
5915,Into the Wild,"adventure,drama"
826,The Bridge on the River Kwai,"drama,history,war"
674,Harry Potter and the Goblet of Fire,"adventure,fantasy,family"
396,Who's Afraid of Virginia Woolf?,drama
446159,Bacurau,"mystery,western,thriller"
502,Fail Safe,"drama,thriller,war"
810171,The Valet,"comedy,romance"
80,Before Sunset,"drama,romance"
314365,Spotlight,"drama,history"
25606,White Collar Blues,comedy
1908,Inherit the Wind,"drama,history"
1280,3-Iron,"drama,romance,crime"
831223,Gone Mom: The Disappearance of Jennifer Dulos,"tvmovie,thriller,crime"
142,Brokeback Mountain,"drama,romance"
263115,Logan,"action,drama,sciencefiction"
506574,Descendants 3,"family,tvmovie,music,adventure,fantasy"
29845,A Woman Under the Influence,drama
762,Monty Python and the Holy Grail,"adventure,comedy,fantasy"
393559,My Life as a Zucchini,"animation,drama,comedy"
423612,Never Look Away,"drama,thriller,romance"
419478,Midnight Sun,"romance,drama"
656563,Rich in Love,"comedy,romance"
428493,God's Own Country,"romance,drama"
375794,No Manches Frida,comedy
22683,Gifted Hands: The Ben Carson Story,drama
696,Manhattan,"comedy,drama,romance"
435366,Fabricated City,"action,thriller,crime"
5961,Fanny and Alexander,"fantasy,drama,mystery"
20126,Deep Red,"horror,mystery,thriller"
303,Notorious,"thriller,romance,mystery"
323272,War Room,"drama,romance"
13042,Presto,"animation,family"
107,Snatch,"crime,comedy"
539517,Constantine: City of Demons - The Movie,"fantasy,animation,horror,action"
28145,"They Shoot Horses, Don't They?",drama
10193,Toy Story 3,"animation,family,comedy"
10191,How to Train Your Dragon,"fantasy,adventure,animation,family"
1480,Touch of Evil,"crime,thriller"
730840,Trollhunters: Rise of the Titans,"animation,fantasy,family,action,adventure"
52345,Lisbela and the Prisoner,"comedy,romance"
17483,Shelter,"drama,romance"
262,The King of Comedy,"drama,comedy"
141,Donnie Darko,"fantasy,drama,mystery"
583083,The Kissing Booth 2,"comedy,romance"
359784,Maudie,"drama,romance"
149870,The Wind Rises,"family,drama,animation,war,history,romance"
